Plant_Code	Vendor_Code	Vendor_Name	Vendor_Address	Active_Status
1300	130952	VARRMAS ELASSTO SEALS	COIMBATORE	TRUE
1250	130955	YADAV PRINTING PRESS	RUDRAPUR	TRUE
1300	130958	P.K SWAMY TRAVELS	CHENNAI	TRUE
1250	130963	STAR SALES CORPORATION	RUDRAPUR	TRUE
1200	130972	HTMT PRIVATE LIMITED	HYDERABAD	TRUE
1300	130972	HTMT PRIVATE LIMITED	HYDERABAD	TRUE
1150	130972	HTMT PRIVATE LIMITED	HYDERABAD	TRUE
1150	130988	INDO PAPER CRAFT PRIVATE LIMITED	SHOLAVARAM	TRUE
1300	130989	B.SIVAMANI	MADAGADIPET PALAYAM	TRUE
1300	130991	LBV AUTOMATION	PUDUCHERRY	TRUE
1210	130997	BHYRAVA ENTERPRISES	MYSORE	TRUE
1200	130997	BHYRAVA ENTERPRISES	MYSORE	TRUE
1300	131000	MAGHALAKSHMI PLAAZAA	VILLUPURAM	TRUE
1300	131001	NILKAMAL LIMITED	PONDICHERRY	TRUE
1300	131011	LIC OF INDIA P AND GS UNIT	CHENNAI	TRUE
1300	131017	STAR AIR SEA LOGISTICS PVT LTD	ALANDUR, CHENNAI	TRUE
1150	131017	STAR AIR SEA LOGISTICS PVT LTD	ALANDUR, CHENNAI	TRUE
1210	131017	STAR AIR SEA LOGISTICS PVT LTD	ALANDUR, CHENNAI	TRUE
1210	131018	ALTECH HYDRAULICS	HOSUR	TRUE
1150	131049	GERMAN POLYMERS AND COATINGS	VANDALUR TALUK, CHENGALPATTU	TRUE
1150	131074	ROOP AUTO FORGE PRIVATE LIMITED	KANCHIPURAM	TRUE
1200	131074	ROOP AUTO FORGE PRIVATE LIMITED	KANCHIPURAM	TRUE
1150	131075	ROOP AUTO FORGE PRIVATE LIMITED	PONDICHERRY	TRUE
1300	131075	ROOP AUTO FORGE PRIVATE LIMITED	PONDICHERRY	TRUE
1200	131076	ROOP AUTO FORGE PRIVATE LIMITED	MYSURU	TRUE
1300	131090	MTAB ENGINEERS PVT LTD	THIRUVALLUR DISTRICT	TRUE
1150	131091	SCIENTILLATING ENGG CNC INDIA	HOSUR	TRUE
1200	131123	ANJANADRI INDUSTRIES	MYSORE	TRUE
1210	131123	ANJANADRI INDUSTRIES	MYSORE	TRUE
1250	131125	COMPACT ENGINEERS AND	GHAZIABAD	TRUE
1150	131126	THREEBOND INDIA PVT LTD	CHENNAI	TRUE
1210	131130	WINGS	MYSORE	TRUE
1200	131130	WINGS	MYSORE	TRUE
1150	131135	S.L.R. METALIKS LIMITED	BELLARY	TRUE
1200	131135	S.L.R. METALIKS LIMITED	BELLARY	TRUE
1150	131152	IMPULSE DRIVES AND MOTORS	COIMBATORE	TRUE
1300	131153	A2Z FILTRATION SPECIALITIES	GURGAON	TRUE
1150	131158	SHREE MTK TEXTILES PRIVATE LIMITED	TAMILNADU	TRUE
1300	131160	GKM LADDERS	CHENNAI	TRUE
1250	131162	STAR COMPUTER	KASHIPUR BY-PASS ROAD,RUDRAPUR	TRUE
1150	131164	SHINE ENGINEERING AUTOMOTIVE	CHENNAI	TRUE
1150	131170	AUTO BLAST INDUSTRIES	CHENNAI	TRUE
1150	131175	CEIN TECH SOLUTIONS PRIVATE LIMITED	CHENNAI	TRUE
1150	131180	GLOBAL ELECTRICAL & ELECTRONICS	CHENNAI	TRUE
1300	131225	TECHNICAL CALIBRATION SERVICES	CHENNAI	TRUE
1250	131227	GRAM TARANG EMPLOY ABILITY TRAINING	ODISHA	TRUE
1300	131233	LAXSMAN IT SOLUTIONS	LAWSPET POST	TRUE
1250	131239	JMD CUTTING TOOLS	RUDRAPUR	TRUE
1250	131240	SUNDARAM INDUSTRIES PRIVATE	MADURAI	TRUE
1210	131240	SUNDARAM INDUSTRIES PRIVATE	MADURAI	TRUE
1150	131240	SUNDARAM INDUSTRIES PRIVATE	MADURAI	TRUE
1200	131240	SUNDARAM INDUSTRIES PRIVATE	MADURAI	TRUE
1300	131240	SUNDARAM INDUSTRIES PRIVATE	MADURAI	TRUE
1250	131241	K K TECHNO SOLUTIONS	DELHI	TRUE
1150	131244	GRAVITA INDIA LIMITED	HARSULIA MOD,TEHSIL-PHAGI, JAIPUR	TRUE
1300	131244	GRAVITA INDIA LIMITED	HARSULIA MOD,TEHSIL-PHAGI, JAIPUR	TRUE
1300	131252	K K HELMETS	PUDUCHERRY	TRUE
1300	131253	HPFS INSTRUMENTS INDIA LLP	MUMBAI	TRUE
1150	131253	HPFS INSTRUMENTS INDIA LLP	MUMBAI	TRUE
